Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,38 - 69,86 - 133,57 - 76,48 - 73
Random,20%,86 - 133,86 - 133,86 - 133,86 - 133,86 - 133,86 - 133,57 - 76,48 - 73,86 - 133,57 - 76,48 - 73,38 - 69
Random,20%,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135
Random,20%,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73
Random,20%,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135
Random,20%,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70
Random,20%,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73
Random,20%,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,58 - 77,48 - 73,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,87 - 135,58 - 77,48 - 73
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,39 - 70,87 - 135,58 - 77,48 - 73
Random,20%,87 - 135,87 - 135,87 - 135,87 - 135,87 - 135,87 - 135,58 - 77,48 - 73,87 - 135,58 - 77,48 - 73,39 - 70
Random,20%,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136
Random,20%,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74
Random,20%,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136
Random,20%,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70
Random,20%,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74
Random,20%,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,59 - 78,49 - 74,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,88 - 136,59 - 78,49 - 74
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,39 - 70,88 - 136,59 - 78,49 - 74
Random,20%,88 - 136,88 - 136,88 - 136,88 - 136,88 - 136,88 - 136,59 - 78,49 - 74,88 - 136,59 - 78,49 - 74,39 - 70
Random,20%,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138
Random,20%,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75
Random,20%,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138
Random,20%,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71
Random,20%,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75
Random,20%,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,59 - 79,49 - 75,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,89 - 138,59 - 79,49 - 75
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,40 - 71,89 - 138,59 - 79,49 - 75
Random,20%,89 - 138,89 - 138,89 - 138,89 - 138,89 - 138,89 - 138,59 - 79,49 - 75,89 - 138,59 - 79,49 - 75,40 - 71
Large Profit,30%,77 - 81,81 - 126,126 - 180,180 - 541,126 - 180,81 - 126,36 - 81,36 - 81,36 - 81,36 - 81,36 - 81,36 - 81
Large Profit,30%,78 - 82,82 - 128,128 - 182,182 - 547,128 - 182,82 - 128,37 - 82,37 - 82,37 - 82,37 - 82,37 - 82,37 - 82
Large Profit,30%,79 - 83,83 - 129,129 - 184,184 - 553,129 - 184,83 - 129,37 - 83,37 - 83,37 - 83,37 - 83,37 - 83,37 - 83
Large Profit,30%,80 - 84,84 - 131,131 - 186,186 - 559,131 - 186,84 - 131,38 - 84,38 - 84,38 - 84,38 - 84,38 - 84,38 - 84
Large Profit,30%,80 - 85,85 - 132,132 - 188,188 - 565,132 - 188,85 - 132,38 - 85,38 - 85,38 - 85,38 - 85,38 - 85,38 - 85
Large Profit,30%,81 - 86,86 - 133,133 - 190,190 - 571,133 - 190,86 - 133,38 - 86,38 - 86,38 - 86,38 - 86,38 - 86,38 - 86
Large Profit,30%,82 - 87,87 - 135,135 - 192,192 - 577,135 - 192,87 - 135,39 - 87,39 - 87,39 - 87,39 - 87,39 - 87,39 - 87
Large Profit,30%,83 - 88,88 - 136,136 - 194,194 - 583,136 - 194,88 - 136,39 - 88,39 - 88,39 - 88,39 - 88,39 - 88,39 - 88
Large Profit,30%,84 - 89,89 - 138,138 - 196,196 - 589,138 - 196,89 - 138,40 - 89,40 - 89,40 - 89,40 - 89,40 - 89,40 - 89
Small Profit,35%,36 - 81,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68
Small Profit,35%,36 - 81,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68
Small Profit,35%,37 - 82,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69
Small Profit,35%,37 - 82,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69
Small Profit,35%,37 - 83,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70
Small Profit,35%,37 - 83,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70
Small Profit,35%,38 - 84,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70
Small Profit,35%,38 - 84,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70
Small Profit,35%,38 - 85,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71
Small Profit,35%,38 - 85,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71
Small Profit,35%,38 - 86,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72
Small Profit,35%,38 - 86,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72
Small Profit,35%,39 - 87,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73
Small Profit,35%,39 - 87,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73
Small Profit,35%,39 - 88,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73
Small Profit,35%,39 - 88,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73
Small Profit,35%,40 - 89,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74
Small Profit,35%,40 - 89,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74
Small Profit,35%,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,9 - 65
Small Profit,35%,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,9 - 65
Small Profit,35%,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69,10 - 66
Small Profit,35%,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69,10 - 66
Small Profit,35%,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70,10 - 67
Small Profit,35%,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70,10 - 67
Small Profit,35%,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70,10 - 67
Small Profit,35%,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70,10 - 67
Small Profit,35%,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71,10 - 68
Small Profit,35%,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71,10 - 68
Small Profit,35%,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72,10 - 69
Small Profit,35%,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72,10 - 69
Small Profit,35%,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73,10 - 70
Small Profit,35%,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73,10 - 70
Small Profit,35%,88 - 136,88 - 136,135 - 135,136 - 136,135 - 135,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73,10 - 70
Small Profit,35%,88 - 136,88 - 136,135 - 193,194 - 194,135 - 193,39 - 88,34 - 85,30 - 82,25 - 79,20 - 76,15 - 73,10 - 70
Small Profit,35%,89 - 138,89 - 138,137 - 137,138 - 138,137 - 137,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,10 - 71
Small Profit,35%,89 - 138,89 - 138,137 - 195,196 - 196,137 - 195,40 - 89,35 - 86,30 - 83,25 - 80,20 - 77,15 - 74,10 - 71
